city,year,weekofyear,total_cases
sj,2008,18,26
sj,2008,19,25
sj,2008,20,32
sj,2008,21,29
sj,2008,22,29
sj,2008,23,32
sj,2008,24,32
sj,2008,25,40
sj,2008,26,42
sj,2008,27,41
sj,2008,28,36
sj,2008,29,41
sj,2008,30,44
sj,2008,31,43
sj,2008,32,51
sj,2008,33,53
sj,2008,34,53
sj,2008,35,58
sj,2008,36,71
sj,2008,37,60
sj,2008,38,51
sj,2008,39,43
sj,2008,40,51
sj,2008,41,42
sj,2008,42,39
sj,2008,43,36
sj,2008,44,34
sj,2008,45,42
sj,2008,46,37
sj,2008,47,35
sj,2008,48,28
sj,2008,49,21
sj,2008,50,22
sj,2008,51,25
sj,2008,52,21
sj,2009,1,22
sj,2009,2,21
sj,2009,3,23
sj,2009,4,23
sj,2009,5,25
sj,2009,6,21
sj,2009,7,20
sj,2009,8,20
sj,2009,9,19
sj,2009,10,21
sj,2009,11,22
sj,2009,12,20
sj,2009,13,20
sj,2009,14,20
sj,2009,15,21
sj,2009,16,23
sj,2009,17,23
sj,2009,18,24
sj,2009,19,22
sj,2009,20,27
sj,2009,21,26
sj,2009,22,40
sj,2009,23,34
sj,2009,24,35
sj,2009,25,39
sj,2009,26,39
sj,2009,27,45
sj,2009,28,45
sj,2009,29,50
sj,2009,30,50
sj,2009,31,51
sj,2009,32,48
sj,2009,33,47
sj,2009,34,50
sj,2009,35,58
sj,2009,36,51
sj,2009,37,50
sj,2009,38,49
sj,2009,39,45
sj,2009,40,57
sj,2009,41,58
sj,2009,42,60
sj,2009,43,54
sj,2009,44,44
sj,2009,45,39
sj,2009,46,38
sj,2009,47,42
sj,2009,48,42
sj,2009,49,32
sj,2009,50,33
sj,2009,51,30
sj,2009,52,29
sj,2010,53,29
sj,2010,1,27
sj,2010,2,24
sj,2010,3,24
sj,2010,4,26
sj,2010,5,21
sj,2010,6,23
sj,2010,7,26
sj,2010,8,27
sj,2010,9,37
sj,2010,10,27
sj,2010,11,27
sj,2010,12,35
sj,2010,13,31
sj,2010,14,27
sj,2010,15,24
sj,2010,16,31
sj,2010,17,46
sj,2010,18,43
sj,2010,19,34
sj,2010,20,40
sj,2010,21,45
sj,2010,22,65
sj,2010,23,60
sj,2010,24,52
sj,2010,25,48
sj,2010,26,52
sj,2010,27,61
sj,2010,28,66
sj,2010,29,54
sj,2010,30,51
sj,2010,31,57
sj,2010,32,65
sj,2010,33,58
sj,2010,34,64
sj,2010,35,65
sj,2010,36,66
sj,2010,37,62
sj,2010,38,57
sj,2010,39,51
sj,2010,40,58
sj,2010,41,63
sj,2010,42,47
sj,2010,43,38
sj,2010,44,40
sj,2010,45,44
sj,2010,46,30
sj,2010,47,24
sj,2010,48,23
sj,2010,49,23
sj,2010,50,27
sj,2010,51,23
sj,2011,52,19
sj,2011,1,19
sj,2011,2,23
sj,2011,3,22
sj,2011,4,21
sj,2011,5,19
sj,2011,6,20
sj,2011,7,21
sj,2011,8,20
sj,2011,9,18
sj,2011,10,19
sj,2011,11,19
sj,2011,12,18
sj,2011,13,21
sj,2011,14,26
sj,2011,15,20
sj,2011,16,21
sj,2011,17,22
sj,2011,18,25
sj,2011,19,22
sj,2011,20,28
sj,2011,21,33
sj,2011,22,41
sj,2011,23,38
sj,2011,24,56
sj,2011,25,52
sj,2011,26,48
sj,2011,27,46
sj,2011,28,45
sj,2011,29,40
sj,2011,30,52
sj,2011,31,44
sj,2011,32,55
sj,2011,33,50
sj,2011,34,55
sj,2011,35,49
sj,2011,36,45
sj,2011,37,54
sj,2011,38,41
sj,2011,39,47
sj,2011,40,53
sj,2011,41,41
sj,2011,42,39
sj,2011,43,33
sj,2011,44,42
sj,2011,45,36
sj,2011,46,36
sj,2011,47,32
sj,2011,48,29
sj,2011,49,24
sj,2011,50,27
sj,2011,51,21
sj,2012,52,21
sj,2012,1,23
sj,2012,2,21
sj,2012,3,19
sj,2012,4,18
sj,2012,5,18
sj,2012,6,18
sj,2012,7,20
sj,2012,8,18
sj,2012,9,20
sj,2012,10,20
sj,2012,11,19
sj,2012,12,19
sj,2012,13,21
sj,2012,14,23
sj,2012,15,25
sj,2012,16,24
sj,2012,17,25
sj,2012,18,31
sj,2012,19,26
sj,2012,20,37
sj,2012,21,34
sj,2012,22,28
sj,2012,23,41
sj,2012,24,39
sj,2012,25,44
sj,2012,26,47
sj,2012,27,43
sj,2012,28,41
sj,2012,29,46
sj,2012,30,46
sj,2012,31,43
sj,2012,32,46
sj,2012,33,51
sj,2012,34,49
sj,2012,35,42
sj,2012,36,40
sj,2012,37,42
sj,2012,38,44
sj,2012,39,51
sj,2012,40,48
sj,2012,41,41
sj,2012,42,55
sj,2012,43,49
sj,2012,44,54
sj,2012,45,42
sj,2012,46,40
sj,2012,47,41
sj,2012,48,33
sj,2012,49,28
sj,2012,50,25
sj,2012,51,23
sj,2013,1,25
sj,2013,2,21
sj,2013,3,19
sj,2013,4,18
sj,2013,5,21
sj,2013,6,19
sj,2013,7,19
sj,2013,8,19
sj,2013,9,20
sj,2013,10,22
sj,2013,11,20
sj,2013,12,21
sj,2013,13,26
sj,2013,14,23
sj,2013,15,27
sj,2013,16,26
sj,2013,17,23
iq,2010,26,7
iq,2010,27,5
iq,2010,28,8
iq,2010,29,2
iq,2010,30,2
iq,2010,31,5
iq,2010,32,4
iq,2010,33,6
iq,2010,34,5
iq,2010,35,7
iq,2010,36,6
iq,2010,37,6
iq,2010,38,5
iq,2010,39,5
iq,2010,40,6
iq,2010,41,5
iq,2010,42,6
iq,2010,43,9
iq,2010,44,13
iq,2010,45,6
iq,2010,46,8
iq,2010,47,9
iq,2010,48,10
iq,2010,49,11
iq,2010,50,10
iq,2010,51,6
iq,2011,52,8
iq,2011,1,7
iq,2011,2,9
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,7
iq,2011,7,8
iq,2011,8,8
iq,2011,9,9
iq,2011,10,8
iq,2011,11,8
iq,2011,12,9
iq,2011,13,9
iq,2011,14,8
iq,2011,15,7
iq,2011,16,8
iq,2011,17,9
iq,2011,18,9
iq,2011,19,5
iq,2011,20,7
iq,2011,21,7
iq,2011,22,6
iq,2011,23,4
iq,2011,24,5
iq,2011,25,4
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,5
iq,2011,34,3
iq,2011,35,3
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,8
iq,2011,40,6
iq,2011,41,8
iq,2011,42,14
iq,2011,43,7
iq,2011,44,7
iq,2011,45,8
iq,2011,46,9
iq,2011,47,9
iq,2011,48,10
iq,2011,49,10
iq,2011,50,8
iq,2011,51,10
iq,2012,52,11
iq,2012,1,9
iq,2012,2,8
iq,2012,3,7
iq,2012,4,6
iq,2012,5,8
iq,2012,6,10
iq,2012,7,8
iq,2012,8,7
iq,2012,9,5
iq,2012,10,8
iq,2012,11,7
iq,2012,12,5
iq,2012,13,8
iq,2012,14,7
iq,2012,15,11
iq,2012,16,11
iq,2012,17,8
iq,2012,18,8
iq,2012,19,4
iq,2012,20,7
iq,2012,21,5
iq,2012,22,6
iq,2012,23,5
iq,2012,24,2
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,2
iq,2012,31,4
